customer_id,age,gender,region
1,58,Female,North
2,65,Male,South
3,32,Female,North
4,61,Nonbinary,North
5,55,Male,North
6,19,Female,South
7,32,Nonbinary,North
8,53,Female,West
9,32,Male,East
10,69,Female,South
11,62,Male,East
12,35,Female,South
13,66,Male,North
14,23,Male,North
15,40,Male,East
16,69,Female,West
17,52,Female,West
18,23,Nonbinary,East
19,71,Nonbinary,East
20,54,Female,North
21,20,Nonbinary,South
22,67,Male,North
23,72,Female,North
24,42,Male,West
25,58,Male,South
26,41,Male,South
27,60,Male,North
28,56,Nonbinary,South
29,52,Nonbinary,South
30,28,Male,West
31,35,Nonbinary,South
32,61,Male,North
33,32,Female,East
34,43,Male,North
35,31,Nonbinary,East
36,31,Nonbinary,West
37,43,Nonbinary,West
38,27,Male,South
39,33,Nonbinary,East
40,65,Nonbinary,West
41,75,Nonbinary,West
42,41,Female,South
43,50,Male,North
44,66,Female,North
45,27,Nonbinary,South
46,68,Nonbinary,West
47,56,Female,West
48,42,Nonbinary,West
49,51,Male,North
50,61,Nonbinary,North
51,61,Nonbinary,East
52,67,Nonbinary,East
53,25,Male,West
54,28,Male,North
55,64,Nonbinary,East
56,50,Female,North
57,73,Nonbinary,East
58,71,Nonbinary,South
59,27,Male,South
60,52,Nonbinary,North
61,56,Male,West
62,19,Female,East
63,74,Male,South
64,21,Female,North
65,23,Nonbinary,West
66,70,Female,South
67,26,Nonbinary,West
68,53,Female,East
69,51,Nonbinary,West
70,31,Nonbinary,South
71,63,Male,West
72,60,Nonbinary,East
73,46,Nonbinary,West
74,25,Female,South
75,22,Male,North
76,55,Nonbinary,South
77,55,Female,North
78,22,Nonbinary,North
79,32,Female,North
80,73,Male,North
81,50,Female,East
82,60,Male,South
83,52,Female,West
84,33,Male,West
85,30,Female,North
86,60,Male,East
87,45,Male,West
88,73,Nonbinary,North
89,61,Nonbinary,North
90,21,Male,East
91,69,Female,South
92,30,Female,West
93,26,Male,South
94,35,Male,South
95,73,Female,West
96,69,Nonbinary,North
97,21,Nonbinary,North
98,23,Female,South
99,44,Male,West
100,31,Male,North
101,28,Male,North
102,42,Male,West
103,36,Male,West
104,27,Female,East
105,31,Female,North
106,65,Male,North
107,21,Nonbinary,West
108,50,Nonbinary,South
109,21,Nonbinary,North
110,72,Female,North
111,56,Female,South
112,43,Female,South
113,55,Nonbinary,North
114,57,Female,West
115,60,Nonbinary,East
116,34,Female,East
117,33,Male,West
118,26,Nonbinary,East
119,47,Male,North
120,18,Male,North
121,22,Nonbinary,South
122,50,Male,South
123,40,Female,South
124,41,Male,South
125,46,Nonbinary,East
126,57,Nonbinary,North
127,60,Nonbinary,East
128,60,Female,South
129,34,Female,North
130,65,Nonbinary,South
131,35,Male,South
132,63,Male,South
133,61,Nonbinary,East
134,50,Male,East
135,75,Female,North
136,58,Male,East
137,20,Female,East
138,67,Female,East
139,28,Nonbinary,West
140,53,Nonbinary,West
141,53,Female,North
142,22,Nonbinary,South
143,52,Female,East
144,55,Nonbinary,South
145,45,Female,North
146,37,Male,North
147,75,Male,South
148,61,Female,North
149,40,Nonbinary,West
150,57,Nonbinary,South
151,33,Female,South
152,74,Male,North
153,29,Nonbinary,East
154,68,Male,South
155,35,Female,North
156,42,Female,West
157,32,Female,West
158,40,Male,South
159,32,Female,South
160,43,Male,East
161,73,Female,East
162,40,Nonbinary,West
163,61,Nonbinary,East
164,19,Female,East
165,29,Nonbinary,East
166,20,Female,West
167,40,Nonbinary,East
168,45,Nonbinary,North
169,42,Nonbinary,South
170,34,Female,West
171,18,Nonbinary,South
172,41,Male,North
173,60,Male,East
174,60,Female,East
175,50,Male,West
176,38,Male,East
177,53,Female,South
178,44,Nonbinary,West
179,61,Nonbinary,South
180,57,Nonbinary,East
181,43,Nonbinary,North
182,37,Male,South
183,45,Nonbinary,East
184,47,Male,West
185,61,Female,West
186,68,Nonbinary,South
187,60,Female,East
188,50,Nonbinary,East
189,23,Female,East
190,32,Female,South
191,19,Female,South
192,48,Nonbinary,North
193,47,Male,South
194,63,Nonbinary,West
195,49,Male,South
196,27,Nonbinary,North
197,75,Female,West
198,32,Female,West
199,21,Nonbinary,South
200,72,Female,West
201,26,Male,East
202,66,Male,West
203,71,Nonbinary,West
204,75,Female,West
205,46,Male,South
206,71,Nonbinary,East
207,67,Nonbinary,West
208,58,Female,East
209,46,Female,East
210,33,Male,East
211,38,Nonbinary,North
212,26,Female,South
213,42,Nonbinary,South
214,63,Female,North
215,44,Male,East
216,52,Male,West
217,21,Female,West
218,42,Nonbinary,North
219,72,Nonbinary,West
220,48,Female,East
221,37,Male,West
222,52,Nonbinary,South
223,49,Female,East
224,45,Male,North
225,42,Male,West
226,64,Female,West
227,26,Nonbinary,North
228,43,Nonbinary,North
229,23,Nonbinary,West
230,26,Male,South
231,21,Male,West
232,38,Female,West
233,38,Male,West
234,35,Male,East
235,71,Female,West
236,19,Nonbinary,North
237,40,Female,North
238,67,Nonbinary,North
239,66,Female,South
240,30,Female,South
241,33,Female,West
242,60,Female,South
243,47,Nonbinary,East
244,67,Male,South
245,56,Nonbinary,North
246,67,Female,East
247,24,Nonbinary,North
248,37,Nonbinary,West
249,43,Nonbinary,South
250,22,Nonbinary,South
251,24,Nonbinary,East
252,72,Nonbinary,North
253,68,Nonbinary,North
